page_url,writer,date,title,content
https://www.ndtv.com/latest/page-2,Manish Kumar," Tuesday April 12, 2022","Over 40 Hours On, 6 Still Stuck In Jharkhand Cable Car Disaster; 3 Dead","More than 40 hours after a cable car collision in Jharkhand's Deoghar district, eight people remain stranded in three carriages mid-air while around 39 were rescued in a risky operation involving two Air Force helicopters and dozens of officials."
https://www.ndtv.com/latest/page-2,"Maxwell Adler and Sarah Frier, Bloomberg"," Tuesday April 12, 2022                                                        
                                                        ","The ""Chilling Effect"" Of Elon Musk On Twitter Staff","Twitter Inc. employees were scheduled to have Monday off, for the company's monthly ""day of rest."" But Elon Musk made it hard not to think about work."
https://www.ndtv.com/latest/page-2,Neelav Chakravarti," Tuesday April 12, 2022                                                        
                                                        ","""The Bradman And Lara Of This Era"": Rashid Latif Rates Pakistan Cricketer Ahead Of Javed Miandad, Wasim Akram, Inzamam-Ul-Haq","Speaking on YouTube, former Pakistan captain Rashid Latif had special praise for a certain cricketer and also compared him to Sir Don Bradman and Brian Lara."
https://www.ndtv.com/latest/page-2,Agence France-Presse," Tuesday April 12, 2022","With 15 Meets Since Ukraine War, UN Puts Pressure On Veto-Member Russia",The UN Security Council -- which on Monday held a session on the plight of women and children in Ukraine -- will hold another meeting next week on the humanitarian situation there.
https://www.ndtv.com/latest/page-2,NDTV Sports Desk," Tuesday April 12, 2022                                                        
                                                        ","IPL 2022, CSK Predicted XI vs RCB: Will Rajvardhan Hangargekar Get A Chance?",IPL 2022: Chennai Super Kings are in dire need of a win to keep their playoffs hopes alive this season and it needs to be seen whether they make any changes for the game against RCB.
https://www.ndtv.com/latest/page-2,Reuters," Tuesday April 12, 2022","Taiwan's 1st War Survival Guide For ""Possible Disasters"" Amid China Threat","Taiwan's military released a handbook on civil defence for the first time on Tuesday, giving citizens survival guidance in a war scenario as Russia's invasion of Ukraine focuses attention on how the island should respond to China's pressure."
https://www.ndtv.com/latest/page-2,Prashun Talukdar," Tuesday April 12, 2022","Sensex Falls Over 350 Points, Nifty Trades Below 17,600 On Weak Global Cues","The Indian equity benchmarks on Tuesday fell in opening deals, tracking a weak trend in global markets."
https://www.ndtv.com/latest/page-3,NDTV Sports Desk," Tuesday April 12, 2022                                                        
                                                        ","IPL 2022, RCB Predicted XI vs CSK: Will Josh Hazlewood Replace David Willey?",IPL 2022: Royal Challengers Bangalore are fourth in the points table and it needs to be seen whether they bring in Josh Hazlewood for the clash against Chennai Super Kings.
https://www.ndtv.com/latest/page-3,Reuters," Tuesday April 12, 2022","""Vigilant"" Shanghai Lets Some Residents Leave Home First Time In 15 Days","Some residents of Shanghai stepped out of their homes for the first time in more than two weeks on Tuesday, as the city took tentative steps towards easing a COVID-19 lockdown amid mounting worries over the economic impact of the strict curbs."
https://www.ndtv.com/latest/page-3,Pranita Chaubey," Tuesday April 12, 2022","Ranbir Kapoor, Alia Bhatt's Reported Wedding: Keeping Up With The Groom-To-Be","Ranbir, Alia Marriage: The Rockstar actor was pictured at a skincare clinic"
https://www.ndtv.com/latest/page-3,NDTV Food Desk," Tuesday April 12, 2022                                                        
                                                        ","Baisakhi 2022: Date, Significance And 5 Classic Punjabi Dishes","Baisakhi 2022: Also known as Vaisakh Sankranti, the festival is observed by the Sikh community all across the world."
https://www.ndtv.com/latest/page-3,Press Trust of India," Tuesday April 12, 2022",Lesser Than Europe Does In An Afternoon: S Jaishankar On Russian Oil Deal,"India's total purchase of oil from Russia in a month is probably less than what Europe does in an afternoon, External Affairs Minister S Jaishankar said on Monday."
https://www.ndtv.com/latest/page-3,Prashun Talukdar," Tuesday April 12, 2022                                                        
                                                        ","Petrol, Diesel Prices Remain Steady For Sixth Straight Day. See Rates",Fuel prices were unchanged for the sixth consecutive day on Tuesday across metro cities after being hiked 14 times in 21 days.
https://www.ndtv.com/latest/page-3,rashi.hardaha," Tuesday April 12, 2022                                                        
                                                        ","KCET 2022 Registration To Begin Today; Check List Of Documents Required, Details",KCET 2022: The Karnataka Common Entrance Test (KCET 2022) application forms will be released on the official website- kea.kar.nic.in.
https://www.ndtv.com/latest/page-3,Agence France-Presse," Tuesday April 12, 2022",4.8 Million Ukraine Children Displaced Since Russia Invasion: UN Officials,Top officials at the United Nations called Monday for both an investigation into Russia's violence against women during its invasion of Ukraine and the protection of children in the conflict.
https://www.ndtv.com/latest/page-3,Neelav Chakravarti," Tuesday April 12, 2022                                                        
                                                        ",Watch: Rahul Tripathi Takes Stunning One-Handed Diving Catch To Dismiss Shubman Gill,"IPL 2022, SRH vs GT: Rahul Tripathi took a fantastic diving catch to dismiss Shubman Gill as SunRisers Hyderabad beat Gujarat Titans."
